,tweet,Primary Emotion
865,@lakotalaw I see a cavalier attitude of amassing fortunes amidst total disregard of human rights. The importance of #NoDAPL,fear
866,"#NoDAPL Protesters Visit Congressman Cramer’s Office, Friendly Discussion Ensues https://t.co/lV39oA9B49",anger
867,"""It's Time for Native American Stories to Make It to Broadway."" #NoDAPL movement shows swell of interest, support. https://t.co/bvSwuixEev",fear
868,KEEP FIGHTING #NOKEYSTONE #NODAPL https://t.co/w6ycGsTUtG,anger
869,"Standing Rock activists just released their first, brutally effective #NoDAPL TV ad https://t.co/fUV2Lguiy1 via @fusion",anger
870,"@EcoWatch @billmckibben @RebelMouse Thanks @fossilfreepenn , on behalf of those who really like clean water and clean air. #NoDAPL",fear
871,#NoDAPL #NoKXL The battle is far from over. https://t.co/3X4bRT8SMk,fear
872,"#THIS Has to STOP!
Another Oil Spill polluting our water.

#NoDAPL
#NoKEYSTONE
#NoMoreFossilFuelCorruption... https://t.co/8iyhLCXNi3",fear
873,"I'd like to put HIM in a pipeline: 
Energy Transfer Partners owner Kelcy Warren nearly tripled his fortune. #NoDAPL 
https://t.co/zBhSs2qAGY",fear
874,See Dine and Cheyenne hip-hop artist Lyla June on the Roadshow of Resistance! #MniWiconi #NoDAPL https://t.co/KkbAVwTFt2,fear
875,Ppl on SR mad @ locals banking off nodapl bt nt mad @ district&amp;tribal officials who been banking off the tribe 4 years #lateraloppression,anger
876,I think #nodapl &amp; #nokxl has been great at building awareness.  Great people stepping up to say No to killing our planet! https://t.co/h0fM4QHAOb,fear
877,"Retweeted Tinsel Korey (@tinselkorey):

But pepper spraying, strip searching and placing peaceful #NoDAPL... https://t.co/4JKEop4Eo1",fear
878,Can anyone say hypocrite? Did you forget what happened at #StandingRock? #NoDAPL https://t.co/3jkHlH35ea,anger
879,"Retweeted Megan Red Shirt-Shaw (@mredshirtshaw):

We cannot depend on Native activists only talking about #NoDAPL... https://t.co/chHqrwbOtM",anger
880,Managing Dissent https://t.co/VfAP1QdBfo #NoDAPL,anger
881,.@RepKevinCramer having a friendly chat with #NoDAPL folks in his office feels newsworthy for what didnt't happen. https://t.co/vf5qyieHP1,fear
882,Trump is committing treason against the earth and all of its inhabitants. #globalwarming #nodapl #resist #impeach https://t.co/tlUAsyUL9r,fear
883,"RT US-The 5 Most Deranged Conspiracy Theories from GOP Mega-Donors' Bizarro Climate Conf., https://t.co/xLewOyEWt8 #Nokxl #NoDAPL #resist",anger
884,"This. #NoDAPL #NoKeystone #WaterIsMorePreciousThanOil #BeOnTheGoodSideOfHistory
https://t.co/qdyqShK4PV",fear
885,"If you thought Randy Blythe's lyrics were good, just wait. #NoDAPL #waterislife https://t.co/6RjjNAI6Mn",fear
886,"#TinFoilHat Potential #FalseFlag attack on our right to protest with ""eco terrorism"" and #NoDAPL ?? https://t.co/BvxPRTXAto",fear
887,#NoDAPL #StandingRock Update https://t.co/gaANnHxTyr,fear
888,#Life the movie was so Scary! I loved it. It left me breathless. Terrific!! I want more! #mondaymotivation #NoDAPL,fear
889,"#DakotaAccess Oil Line Readies for Service in Win for Shale 

#resist #NoDAPL #water
https://t.co/ZWFrHmCEAv",fear
890,"Must See:  'AWAKE, A Dream From #StandingRock,' coming on #EarthDay, April 22nd. https://t.co/04JSnGYbon #NoDAPL",fear
891,America's Biggest Gainer: Dakota Access Pipeline Billionaire Nearly Triples Net Worth via @forbes https://t.co/804fy5xODE #NoDapl,fear
892,NoDAPL: Disputed land rights under Lake Oahe https://t.co/LE0GCFNkE0,neutral
893,Only when the last tree has died and the last river has been poisoned...we will realize we can't eat money. #NoDAPL https://t.co/DWj85R91jJ,fear
894,"https://t.co/i1qHl6EyRZ article by Louise Erdrich, a Native writer I discovered in my #eng739 class, on the #DakotaAccessPipeline. #NoDAPL",fear
895,Like #NoDAPL https://t.co/XwC6DvIdpE,fear
896,"@thehill can't even boycott this disaster either, since its NOT staying in the US. #NoDAPL #DAPL",fear
897,Enough is enough #NoDAPL - https://t.co/BkEAOMxLZA,anger
898,"Retweeted Weezie #NoDAPL (@WeeziesBooks):

Let's be real, white authors are starting this shit because they know... https://t.co/JWag4BxhKC",anger
899,"Retweeted Weezie #NoDAPL (@WeeziesBooks):

+ white people who try to shame PoC and other marginalized people. I'm... https://t.co/XKjQ3v42D3",anger
900,@BuzzFeedNews The whole thing stinks to high Heaven. Screw Trump &amp; screw Kelcy Warren. I hope ETP goes bankrupt. #HonorTheTreaties #NoDAPL,anger
901,Review: Slouching Towards Sirte | NATO’s War on Libya &amp; Africa https://t.co/BKF771qyRk #NoDAPL,fear
902,@FullFrontalSamB these people should be eaten by animals they fail to protect #karma #nodapl #wildliferule #earth,fear
903,Oil placed in Dakota Access Pipeline under Lake Oahe #nodapl https://t.co/mJUsKuCcYj,fear
904,"@roxie1955 @Gemorace @DearAuntCrabby 
Or renewable energy #NoDAPL",fear
905,JOYE BRAUN'S update #NoDAPL https://t.co/EbnEbWmxVJ,fear
906,North Dakota oil spill vastly underestimated as Trump approves KXL https://t.co/AV8ShXSvS1 #NoDAPL #StandingRock #WaterIsLife,fear
907,#NoDAPL The day we knew was coming .https://t.co/XqjHbSnrfV,fear
908,"It was a f'ing act of sabotage, an assault upon mother nature to erect the damn thing. GOOD.  rip. it. apart.  every. single. piece.#NoDAPL https://t.co/6TOuK4CtaA",anger
909,Sign To Help Al Franken Defend The NoDAPL Water Protectors! https://t.co/ZEoEvpLutd,fear
910,"Shameful and disgusting #USA &gt;@GOP &gt;@realDonaldTrump 
#NoDAPL #StandWithStandingRock #WaterIsLife #Government 🚫 https://t.co/WAntU8LqYN",fear
911,#NoDAPL #activist @ChaseIronEyes among our Revolutionizing Protest panelists at the 2017 FOW Summit. Learn more: https://t.co/e6YhJLWGb1 …rt https://t.co/Sn2OF2Nuqw,fear
912,And yet you had no problem arresting water protectors??? #hypocrisy #nodapl https://t.co/VNh8NiXBLr,anger
913,Did you stand up for #NODAPL? https://t.co/KOnKnR90rX,fear
914,Oil is in pipeline. #NoDAPL https://t.co/Hj0bWOvS40,fear
915,"3/27/2017

Flying over Oceti Sakowin Camp Standing Rock with Digital Smoke Signals Drone!!!! 

#NoDAPL... https://t.co/uvwr5HKawt",fear
916,Thanks to the organizers and participants of #noKXLcall. I look forward to the future of this endeavor and conversation #noKXL #NoDAPL,fear
917,#NoDAPL #WaterIsLife you effin idiots 😡 https://t.co/5ctBMnR5Gv,fear
918,Don't frack period!! #DontFrackMD #NoDAPL#noxlpipelune https://t.co/FB4nfDtDjF,fear
919,Welp 😒😒😒 it's not over #WaterIsLife #MniWiconi #NoDAPL https://t.co/BqR633vJOa,fear
920,"That's right, not 176K gallons of oil spilled in ND; more like half a million gallons. #NoDAPL https://t.co/STdOZFkd40",anger
921,"Reminder of what we're up against, in addition to pipelines. https://t.co/DbdZIhOF3M #NoDAPL #StandingRock",fear
922,Good call #Maryland !!!!!!!!!!!!! #DontFrackMD #NoDAPL #noxlpipeline https://t.co/3wy6MocXom,fear
923,"Dakota Access Pipeline Sabotaged in Several States, Authorities Claim
https://t.co/IzmXRW6HUb
#NoDAPL
~ Ⓥ",fear
924,"Drone footage from today. Empty camps, Turtle Island, West drill pad shows drill packed up #NoDAPL https://t.co/9BbZuGtXVn",sadness
925,"WATER IS STILL LIFE
#NoDAPL #MniWiconi https://t.co/Ua925UU0cp",fear
926,Follow @BoldNebraska to resist #KeystoneXL #NoKXL #NoDAPL #keepitintheground,fear
927,"Dakota Access Pipeline Sabotaged in Several States, Authorities Claim
https://t.co/yinimSNz52
#NoDAPL",fear
928,Oil Lobbyist: We Built the Equivalent of 10 Keystones Since 2010 and “No One’s Complained” https://t.co/BD3vdfMf55 #NoDAPL,fear
929,The latest The Environment Daily! https://t.co/9LloKSXagF #nodapl,fear
930,Why water is so sacred to Native Americans https://t.co/gjGl7SVxMr #NoDAPL https://t.co/jYjzj7iSyf,fear
931,UPDATE: Oil is flowing through the Dakota Access Pipeline. #NoDAPL #WaterIsLife https://t.co/rgKWlNqm9q,fear
932,Wait... remember the peaceful #NoDAPL #StandingRock protests??? I swear 2017 is a fucking dumpster fire. https://t.co/O3tE5d3E3z,fear
933,Trump just approved the Keystone XL pipeline. Here's what comes next. https://t.co/6vg6SZmDaI #NoDAPL #StandingRock #WaterIsLife,fear
934,#NoDAPL The oil is now flowing. Those who reap the profits will not have to suffer the consequences. It will be our children and theirs.,anger
935,The latest The Faves Daily! https://t.co/iimb6Z9iML Thanks to @remixtures #nodapl,joy
936,"Tar Sand Climate Disaster starts the slippery slope. https://t.co/8EHRuk2T5q
#wakeup #NoKXL #NoDAPL #greenenergyjobs #fossilfree https://t.co/gqF8W4IUHr",fear
937,So says the country who treated peaceful water protectors like terrorists. Can we say #hypocrisy boys &amp; girls? #NoDAPL @StateDept https://t.co/GimlvuDKdP,fear
938,Dakota Access loaded with oil under Lake Oahe. #NoDAPL. https://t.co/D0RaI1wCaI via @bistrib,fear
939,"#FlintWaterCrisis #NoDAPL Well, at least it's a start...after 3yrs w/o clean water these ppl deserve replacement lines &amp; much more. https://t.co/4w237b5Gdq",fear
940,I'm so glad Jordan from TYT keeps up with #NoDAPL and the #FlintWaterCrisis,joy
941,Dakota Access confirms pipeline about to go into service with work complete in N.Dakota #NoDAPL #NativeNationsRise https://t.co/52pMy210oN https://t.co/Fd9T95Irw0,fear
942,"@StateDept @POTUS This is a joke, Right? The US violates Human Rights on a daily a basis. Pot meet Kettle. #NoDAPL https://t.co/901J4x51JU",fear
943,"Well, I hope #NoDAPL pipeline is all they say it is... :(      :(",neutral
944,#Oriole #Ravens country bans fracking! One for the team! https://t.co/ZJcHROxqWN #waterislife #ourrevolution #nodapl #feelthebern,fear
945,Educate yourself &amp; find it. A simple google search should do if you don't go deeper. Proof is everywhere. #NoDapl https://t.co/wUSUK2Y5fG,fear
946,DNB Bank Divests From Dakota Access Pipeline https://t.co/IgrWeUslXD #NoDAPL,fear
947,You don't care when it happens here 🇺🇸 in #StandingRock &amp; those peaceful protests. Human rights violations. #NoDapl https://t.co/cnTlHpSEID,anger
948,Just found out that @ShaunKing is at Vandy tomorrow. I wish I wasn't broke. 😥 You all should go though! #Resist #NoDAPL #BiPride #BLM,anger
949,"So 6 years of bottled water, rashes, miscarriages, more brain damage? #NoDAPL gets a rush for construction but not for #FlintWaterCrisis? https://t.co/bv9YwtbRsk",fear
950,@JordanChariton @ChaseIronEyes who says movement has to stop? #Faith #NoDAPL,fear
951,OLD MOLE ACTIVIST CALENDAR FOR week of 3/27  #NoDAPL #DoNotBuy #ReproductiveJustice #AbolishPrisons  https://t.co/RS6lQ8nBA8 https://t.co/AUHEvUtM5S,fear
952,Best way to create jobs is invest in clean energy &amp; healthcare for all! #ClimateMarch #NoKXL #NoDAPL https://t.co/tT6gWe4jjD,fear
953,I wonder how much cleaning up that reservoir will be when that pipeline leaks? Because they always leak. #NoDAPL https://t.co/pkXbd0ZYrT,surprise
954,"#NoDAPL #NoKXL The battle is raging, we must stand together and remain strong.#NativeNationsRise #DivestTheRest https://t.co/yDSvQeJ0VN",anger
955,And my last piece on #NoDAPL still sums up my feelings about what's happened since Trump took office. https://t.co/cfiX7sQS4r,fear
956,"NO NO, GET RID OF ALL OF THE OIL #NoDAPL https://t.co/ecehDasMVA",neutral
957,"As oil is pushed into the Dakota Access pipeline, my advice on how to be supportive remains the same. https://t.co/yMqOOmzG1P #NoDAPL",fear
958,lights. Rock Scene https://t.co/B6glieUpFB #OWS @RnRArchaeology #zerotermpresident @IggyPop @Greeenguy111 #NoDAPL @ArtistReach @o_c_c_u_p_y,fear
959,There is oil in the Dakota Access pipeline. It will be flowing soon. #NoDAPL #StandingRock,fear
960,@a_c_riddick i have participated in the womens march and a #nodapl march. I have not participated in any ancillary Trump events.,joy
961,"We are bombarded with issues which are really important &amp; distracting. I have not been following closely to #NoDAPL, thanks for the nudge. https://t.co/ijCziHke24",fear
962,Sarah Van Gelder: Huge bank divests from Dakota Access Pipeline #DefundDAPL #NativeNationsRise #NoDAPL https://t.co/LtzmIsQPya https://t.co/4yC9jMYb58,fear
963,"Shailene Woodley's Embarrassing Start on ABC Family, Her Unbelievable Boobs, and The Fight for NODAPL",disgust
964,@peppermintesse Why are people so awful? #NoDAPL,fear
965,Not until the masses rise up in numbers that can't be ignored and fight back PEACEFULLY #NoDAPL https://t.co/EXh638ieRn,fear
966,lights. on the Precipice https://t.co/yGmXt589dH #OWS @MarkGoulston #NoKXL @leftsidestoryUS #NoDAPL @DemSpring @startandendnow @o_c_c_u_p_y,fear
967,Tomorrow on #WOYM we catch up with spouses whose husbands were on the front line during the #DAPL - #NODAPL protest and were threatened.,fear
968,"@NinjaJournalist Hooray for race mixing, we can thank (((them))) #nodapl #racemixing",joy
969,NASA captures incredible shots of huge storm from space https://t.co/ogMDQJSxBS #nodapl,fear
970,"#TYTLive I know @FBI has my face stored, it's great fun, come see for yourself. #NoDAPL #NoKXL",fear
971,"Premiering At The #Tribeca Film Festival '""Awake"" a dream from Standing rock' #NoDAPL https://t.co/IYbHsO6a1W? https://t.co/XlI6bN3aIo",fear
972,This angers me. #resist #NoDAPL https://t.co/zXCzFMF4ph,anger
973,Really?  This is soaked in hypocrisy. #NoDAPL https://t.co/fDQDqHnzCc,anger
974,Company: Oil in pipeline under Missouri River reservoir #NoDAPL  https://t.co/adMJP9Ju7S,fear
975,I just signed the pledge to resist Trump's pipeline plans. #NoDAPL #NoKXL https://t.co/EPKUxynhOb via @ClimateHawkVote,fear
976,Just another day in settler colonialism. #NoDAPL https://t.co/GwcHjxsTpS,fear
977,#NoDAPL took its biggest hit today when reports came in that the pipeline is filled with oil and ready to run https://t.co/BhfpZCek8a,fear
978,Indigenous groups line up against Keystone XL pipeline #NoKeystoneXL #NoDAPL #WaterIsLife  https://t.co/06zBX9WOhS,fear
979,Today's score: @TomiLahren = 8mins. #NoDAPL = 0.  #tytlive,fear
980,Lumineers show draws pipeline opponents from near and far https://t.co/ta6bElTCef #NoDAPL #StandingRock #WaterIsLife,fear
981,All supporters of #DAPL you should be ashamed of yourselves when it spills #NoDAPL #WaterisLife #YouCantDrinkOil #ProgressiveRevolution https://t.co/CGcFbiS3iQ,fear
982,#NoDAPL Update: reports are that DAPL has oil it in. Should be flowing soon.,neutral
983,Standing Rock protesters hold out against extraordinary police violence https://t.co/5jPuDMcuYk #NoDAPL #StandingRock #WaterIsLife,fear
984,"Ill say it once again #NoDAPL. 
Goddamn it.",fear
985,Water is Life NoDAPL Standing Rock Tribe T-shirts https://t.co/8HS3muFgSR Support #StandingRock https://t.co/EOS2aSALqo,fear
986,Water is Life NoDAPL Standing Rock Tribe T-shirts https://t.co/Y2v1KHUsTp Support #StandingRock https://t.co/5Y5byf5ck6,fear
987,Water is Life NoDAPL Standing Rock Tribe T-shirts https://t.co/LEnyecSIiu Support #StandingRock https://t.co/fA82EQP7lO,fear
988,Water is Life NoDAPL Standing Rock Tribe T-shirts https://t.co/m6dfs7iktg Support #StandingRock https://t.co/75PyzsgETj,fear
989,BREAKING: Oil now running through the #DakotaAccessPipeline https://t.co/g10OU3o8XY #NoDAPL #StandingRock #WaterIsLfie,fear
990,"Lest you think this is hyperbole...

FB wouldn't let me see video w/o login ONLY when things got hot @ NODAPL camps. That's no 'glitch'.",anger
991,Defend the Sacred Standing Rock #NoDAPL T-shirt Please support #StandingRock https://t.co/B5eaouQoqV https://t.co/QhMUq6zBwX,fear
992,Defend the Sacred Standing Rock #NoDAPL T-shirt Please support #StandingRock https://t.co/UZmKLu16fr https://t.co/e3NGugjqAW,fear
993,Defend the Sacred Standing Rock #NoDAPL T-shirt Please support #StandingRock https://t.co/GTlzu2ptgX https://t.co/e6QFa0TwJb,fear
994,Defend the Sacred Standing Rock #NoDAPL T-shirt Please support #StandingRock https://t.co/LG0atQEzvB https://t.co/eOrMWCb3a7,fear
995,I fucking hate settlers. #NoDAPL https://t.co/MZwqeOEgzg,anger
996,"think before ya drink #nodapl #standwithstandingrock
https://t.co/iNxyXF5cUH",fear
997,So Fcking disturbing #NoDAPL #TrumpRussia #ImpeachTrump https://t.co/xi0X4VEnfN,fear
998,.@JordanChariton reports that oil is now in the #NoDAPL pipe. Will soon flow. https://t.co/D4xQVdPCnE,fear
999,TransCanada's Keystone XL Projects Recv Nod fr Trump #nodapl #nostpl #standingrock #notmypresident https://t.co/fqUNgK6XBO via @YahooFinance,fear
1000,Why can't we elect a Native American like Faith Spotted Eagle as president? | Julian Brave NoiseCat https://t.co/Gs3ZIokYIh #NoDAPL #Stand…,fear
1001,fuck this shit. #NoDAPL https://t.co/sxEowBxbRx,anger
1002,#NoDAPL North Dakota #pipeline spill larger than previously thought https://t.co/zQRzAXiYCZ,fear
1003,"#BREAKING: Sad day for America, where green and recklessness supersede basic common sense and humanity #NoDAPL https://t.co/zed8MoUQLO",sadness
1004,"""Standing Rock is coming to Virginia.""   -Scott Burger, commenting on a fracking ban proposal in #RVA

#DAPL
#NoDAPL
#RVACouncil",fear
1005,"@zhaabowekwe When it comes to #CivilRights we need to put our house in order. 

#NoDAPL
#Indivisible
#RussiaProtests",fear
1006,Call To Action: Mass Bank Exit - here's how it's done #NoDAPL #BankExit https://t.co/Pn2dN6ZEtj,fear
1007,Keystone XL: The Art of NGO Discourse - Part IV | Buffett Acquires the Non-Profit Industrial Complex https://t.co/fwfEFfVws0 #NoDAPL,fear
1008,"North Dakota pipeline spill is *3 times* larger than previously thought. 529,000 gallons spilled:  https://t.co/APK4vIOgCX #noKXL #noDAPL",fear
1009,"@NoDAPL_zaPHod not to forget outsourcing the jobs in cheaper countries. What about, let's say Russia, turkey, North Korea... 🤑",neutral
1010,Imperial Civil Society: False Fronts for Wall Street https://t.co/CL5e0pJzsb #NoDAPL,fear
1011,"""STATE DEPARTMENT: KEYSTONE XL PIPELINE WOULD ONLY CREATE 35 PERMANENT JOBS"" https://t.co/3jmg1KA1Ja #DAPL #NoDAPL",fear
1012,"https://t.co/g163ANK5nP

Oh look!  Pipelines leak. 
@POTUS @Scotus #NoDAPL #WaterIsLife @washingtonpost @OutdoorsND @VP",fear
1013,The irony would be funny if it weren't for the body count. #blacklivesmatter #NoDAPL https://t.co/S0agV2iFr9,fear
1014,Sign To Help Al Franken Defend The NoDAPL Water Protectors! https://t.co/tdtwIu18fe,fear
1015,.@Earthjustice discusses what lies ahead in the fight to stop the Dakota Access Pipeline https://t.co/vcoU5g18dj #NoDAPL https://t.co/60LL8DQt6D,fear
1016,@houckola I meet @JordanChariton in a ND casino. He had me at shouting questions at the cops ✊🏽💧✊🏽#NoDAPL #TYTlive @TYTLive https://t.co/uSPHurklNw,fear
1017,#WaterIsLife video update from @mybrandonboyd on @Proplr #NoDAPL @the_MYF - https://t.co/dyg6gOPe0Q,fear
1018,The latest The Wrong Kind of Green Daily! https://t.co/CGL2ZzN3cy #nodapl,fear
1019,Dick Gregory finds right mix of social activism and comedy https://t.co/fsv6m6zJxz #Fem2 #NoDAPL,joy
1020,What about what happened to protect oil in North Dakota with the #NoDAPL Water Protectors?. Held nude over night. Dog kennels. Poisoned. https://t.co/TD7pg7Sj9q,fear
1021,Dick Gregory finds right mix of social activism and comedy https://t.co/jKWhU2jzeG #Fem2 #NoDAPL,joy
1022,"HAHAHAHAHAHAHA
#JokeoftheDay 
#ows #NoDAPL 
and on &amp; on 🙄
https://t.co/usA0JPiIHa",fear
1023,DC Citizens Keep #NoDapl Alive By Divesting From Wells Fargo via /r/SandersForPresident https://t.co/kWbMnBxIHq,fear
1024,Will DC Be the Next City to Support #NoDAPL And Divest From Wells Fargo? via /r/SandersForPresident https://t.co/ruAOs3DjYF,fear
1025,"@StateDept Where was condemnation when US citizens thrown in dog kennels &amp; denied access 2 legal rep. during #NoDAPL in Morton Co., ND, USA?",anger
1026,"@meaganmday many in #TheResistance find crackdown on Russia protestors an affront to ""democracy"" yet aired no grievance at #NoDAPL arrests",anger
1027,Norwegian bank DNB sells its share of Dakota pipeline funding https://t.co/dUTqj0nz5L #NoDAPL #StandingRock #WaterIsLife,fear
1028,THIS 👇🏽#NoDAPL https://t.co/G6gpY15KV5,fear
1029,"Pero like, the #NODAPL protestors were placed in dog kennels 🤔🤔🤔 https://t.co/NRYmFPN0pI",fear
1030,"So, what kind of an affront to democracy is it when you detain them in dog kennels? #NoDAPL https://t.co/rhWbBd9MW6",anger
1031,Suicidal Tendencies or Addiction? Earth Day Hijacked by Climate Wealth Opportunists https://t.co/JMnt5kbeUr #NoDAPL,fear
1032,"All I can say is #WOW
#Hypocrisy #StateDept #ThisIs2017 #NoDAPL #StandWithStandingRock #Murrica https://t.co/S1bQ6IuSeK",fear
1033,"They Rule: Council on Foreign Relations [Centre for American Progress, Brookings Institution, etc.] https://t.co/Oty41Ck09e #NoDAPL",fear
1034,@VP @POTUS  #NoDAPL #NoKXL It is time to do something about Flint Michigan's water!! #FlintWaterCrisis. Did you forget?,fear
1035,@EmmaVigeland I lost my enthusiasm for @SenWarren when she failed to endorse Bernie in primaries &amp; her waiting to take stand on #NODAPL,fear
1036,#climatechange is not an #alternativefact! @POTUS certainly thinks the future is an #alternativefact #resist #NoDAPL #NoKXL https://t.co/rRfksaZta2,fear
1037,@POTUS defund Viagra! Let ONLY women vote on women's health! #mybodymychoice #NoDAPL #NoKXL #HealthForAll,fear
1038,"@krain723  Lakota, here. They dug up sacred land. #NoDAPL.",fear
1039,"@EmmaVigeland : @TulsiGabbard is the best! But @SenWarren deflects on issues including #NoDAPL , #SinglePayer &amp; war. https://t.co/UAS3XaaBYw",anger
1040,Enough is enough #NoDAPL - https://t.co/hEc2hPAkB2,anger
1041,@JordanChariton USE NEW USA Steel Pipelines to bring CLEAN WATER- NOT DIRTY FRACKED OIL to us ALL!New Infrastructure NOT Destruction#NODAPL,fear
1042,Have you #NativeTwitter #NoDAPL pricks started the gofundme page to pay for the tons of toxic trash you left? Sacred ground my white arse!,anger
1043,@GentlemansHall Remove Sheriff #KyleKirchmeier from @MortonCountySD Sign Petition! https://t.co/Ot7PcI3aSU #NoDAPL @TheYoungTurks #tytlive https://t.co/f2zkDNV1kI,fear
1044,"Business as Usual White-collar Crimes Harm US &amp; Planet #NoDAPL
DAPL Billionaire Nearly Triples Net Worth via @forbes
https://t.co/BwyRILj38e",fear
1045,"Is this what Republican ""freedom"" looks like? #NoDAPL #mondaymotivation https://t.co/YWQsSZoZty",fear
1046,@SenJohnMcCain yes. Wish you had spoken up for #NoDAPL protesters too.,fear
1047,"What about the #NoDAPL protesters at Standing Rock? Don't we care for our own, too? @StateDept https://t.co/vBsmi1v0TL",fear
1048,March 10/17 rally for #standingrock #NoDAPL  #protectoakflat https://t.co/hWYYh2klnE,fear
1049,Congress: Require Trump to prove he has no Dakota Access Pipeline conflicts of interest: #NoDAPL https://t.co/atr2wgzCW8 @moveon,fear
1050,"Come on y'all, if #NoDAPL reminded us of anything it's that WE ARE WARRIORS. Let's do something about this settler https://t.co/ta8WoC3E5g",anger
1051,North Dakota pipeline spill larger than previously thought https://t.co/pGw9Yc2u9p #NoDAPL #StandingRock #WaterIsLife,fear
1052,To be unequivocal: if Gorsuch was asked to rule on #NoDAPL he would rule AGAINST Standing Rock. Gorsuch is not good. https://t.co/ta8WoC3E5g,fear
1053,"But it is soooooo SAFE, right?!!!
#NoDAPL https://t.co/Y6oGZ3M6lZ",fear
1054,Native American Women's Delegation from the Frontlines of Standing Rock in Norway.  #NoDAPL Censored News links censored by Twitter. https://t.co/Y3YNecgvxZ,fear
1055,America's Biggest Gainer: Dakota Access Pipeline Billionaire Nearly Triples Net Worth via @forbes https://t.co/C1ziTsPdhs #NoDAPL,fear
1056,"Um, Standing Rock &amp; the #NoDAPL protest ring any bells? https://t.co/Gxx8lxmNBd",fear
1057,The AMBO Declaration | Where the Vulnerable are Disposable https://t.co/cQ8INTQopN #NoDAPL,fear
1058,Blogs by Investigation https://t.co/AbFiQ4En7c #NoDAPL,fear
1059,Western New Yorkers protest pipeline https://t.co/d1X3CZv7EW #Fracking #NoDAPL https://t.co/eR74SBw718,fear
1060,#Nebraska Landowners Resist #KeystoneXL by Refusing to Sell Their Property to @TransCanada: https://t.co/1S5EZQ9NDs #NoKXL #NoDAPL,anger
1061,"YES TO WATER NO TO THE FOSSIL FOOLS:
WE WON'T BE TERRORIZED (STANDING ROCK)
WATCH HERE: &gt;&gt; https://t.co/Mxf2WwjivX
#NODAPL
#NorthDakota",fear
1062,The latest The Faves Daily! https://t.co/iimb6Z9iML #icymi #nodapl,joy
1063,@zhaabowekwe Great Message of Peace and Solidarity! #NoDAPL,joy
1064,"I liked a @YouTube video from @anonymoustv360 https://t.co/vCOyiJyIyl The Black snake prophecy, Stand #nodapl with Standing Rock",fear
1065,The fight for tribal sovereignty and environmental justice continues.  #NoDAPL @AmericanIndian8 @NoDAPL https://t.co/RUjeqKRYlE,fear
1066,This #NoDAPL 🤤 https://t.co/Z87kQJkYBw,fear
1067,#Repost with ndn.power looks like ancestors are taking care of business #nodapl #mniwiconi https://t.co/0jxoSiM9n9,anger
1068,6 Indigenous Activists On Why They're Fighting The Dakota Access Pipeline https://t.co/UJxtRyAx7o #NoDAPL #StandingRock #WaterIsLife,fear
1069,@Nope_nope_nono @bridgietherease they also *coincidentally* legalized drone usage by PDs as the NODAPL protest was going on. ¯\_(ツ)_/¯,anger
1070,DNB Bank Divests: Responses from Standing Rock Indigenous Women’s Delegation to Norway #NoDAPL #DefundDAPL https://t.co/HgAN6aweSN,fear
1071,"RT @tribeca: The peaceful resistance of the #NoDAPL movement is focus of AWAKE, A DREAM FROM STANDING ROCK. https://t.co/wTfPWhI1ZA",fear
1072,"Then what the fuck do you call #NoDAPL, you worthless piece of hypocritical garbage? Like are they fucking kidding with this? https://t.co/zp51B6kakJ",anger
1073,@StateDept (8) the hypocrisy of this is astounding. &lt;End Rant&gt;  #StandWithStandingRock #NoDAPL  #MniWiconi,fear
1074,@sgtmeowenstein @ImmortalTech @WashTimes somehow this is related to mexico? And did they have time to clean at nodapl?,surprise
1075,"@LisaMcIntire First for everything! Don't care if he works,but the $3million  jaunts to FL getting ridiculous. No golf in DC? #NoDAPL #NoKXL",anger
1076,"@EmmaVigeland @melodijoy If DNB is selling, that's a big indication that Dakota Pipeline is a skunk of a program. #NoDAPL",fear
1077,Sobering to see evidence of how we humans foul our nests. #NoDAPL #NoKXL #OILspill https://t.co/1uByEXFUQi,anger
1078,"Oh right, unless it's the US police detaining peaceful black protestors for #blacklivesmatter or First Nations protestors for #NoDAPL https://t.co/y05tbNohv9",fear
1079,"30 years of oil and gas pipeline disasters, mapped. THIS is why we say #NoKXL #NoDAPL and no to all other pipelines: https://t.co/KIY22Tra7D https://t.co/KuY12MfNHQ",fear
1080,"Okay now tell that to all of the #NoDAPL protesters who were detained, attacked, and harassed by local, state, and federal law enforcement https://t.co/FlVkNJaonw",fear
1081,"#honorssocialmedia # wasn't effective, too many incl. #NoDAPL, but regardless of effectiveness of # @ spreading awareness, it didn't work https://t.co/hxOd3t0bHv",sadness
1082,Are you fucking kidding me!? How many people attacked with gas and bullets in #StandingRock and not a peep from @StateDept #NoDAPL https://t.co/SjOnsIpt9Z,fear
1083,@tassagency_en Mind your business! Has Russia commented on your release of #NoDAPL detainees?,fear
1084,"@StateDept #NoDAPL #Russia 

An unpleasant truth &amp; reminder as to what WE do to peaceful protesters: https://t.co/2fc0eNhiqC",fear
1085,@pmanzo70 @HollyBlomberg 90 folks! Not getting much press just like #NoDAPL,surprise
1086,Norwegian bank DNB sells its share of Dakota Access pipeline funding https://t.co/O4sGMSRH9g #NoDAPL #StandingRock #WaterIsLife,fear
1087,"@StateDept how America Treats  protestors at #NoDAPL  so don't you dare, you sent military grade weapons &amp; vehicles againist unarmed people https://t.co/fJE9DYgIEf",fear
