CourseNumber,Term,FacultyName,CourseName,Level,Description,Bonus Information,CourseDivision
AD1085,S26,"Summers, Kristy",Metalworking,I,"This course will introduce students to metal working as an artistic process and material. Through this course there will be a basic introduction of welding, fabrication, and exploration of metal casting. Students in this course will learn the basics of cutting, bending, welding, and the basic manipulation of metal as a medium. This is a studio/classroom-based course that will introduce materials and methods, provide demonstrations, require research, discuss concepts of planning and construction, address safe material handling and tool usage when applicable, as well as provide the opportunity to experiment and play. Students will create projects based off of their own designs that push them both technically and conceptually. Student evaluations will be based on completion of projects and related research, class participation in demonstrations and class discussions, as well as project based critiques. Student evaluations will be based on completion of projects and related research, participation in demonstrations and class discussions, as well as project-based critiques.Level: Introductory. Prerequisites: None. Class limit: 10. Lab fee: $225. Meets the following degree requirements: ADS.",,ADS
MD1035,S26,"Neuhouser, Jeffry",Career Ecology Seminar,I,"In this course, students will develop a deep understanding of how their personal and professional identities intersect, how to apply and communicate their skills and interests through career experiences, and how to navigate a fulfilling and purposeful life. Students will first and foremost learn to look at their career development through the lens of career ecology, which is applying human ecology as a lens to examine one’s career experiences and professional identity within natural, social, and economic systems. The goal of seeing career development through a career ecology lens is to construct strong identity foundations and continue on a path to professional authenticity, finding one’s sense of purpose, and career fulfillment. This course is designed to meet all students where they are in their COA journey: from first-year exploration through seniors preparing for graduation. This class is useful before you complete your internship requirement, but can also help you prepare for post-graduation success. Students will learn how their career ecosystems and professional identities are deeply influenced by one's familial, cultural, regional, religious, historical, and spiritual experiences, as well as by personal beliefs, views, strengths, and abilities. We will further investigate ways in which one participates in ecosystems through paid work, volunteering, government service, research, writing, community service, leadership, and how to find mentorship and support. Students will learn through written reflections, participating in course discussions on readings and with course visitors, completing career assessments like the Clifton Strengths to understand personal strengths and values, completing professional writing assignments like resumes and cover letters, participating in hands-on networking and interviewing practice, and reading and incorporating design thinking strategies from the text Designing Your Life (Burnett & Evans, 2016). Evaluation and assessment will be based on active participation in course discussions (discussions on readings and with course visitors), completing professional writing assignments (e.g., resumes and cover letters), reflection essays, and oral presentations. Level: Introductory. Prerequisites: None. Class limit: 20. Lab fee: $25. Meets the following degree requirements: None.",,
AD1016,S26,"Bennett, Michael",World Percussion,I,"This is a ""hands on"" class for learning and performing conga, snare drum, drum set, hand percussion techniques, focusing on the role of percussion in European, Latin American, African, and American music. In addition to enjoying themselves and having a better understanding of the world of percussion, students master rhythmic notation, counting and subdivision, time signature, and reading percussion music. Requirements include: test on notation, composition of a percussion ensemble solo that will be performed by the group, and a paper on a percussion topic of student's choice with approval of the instructor.Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: ADS.",,ADS
AD2023,S26,"Coiner, Tom",Actor Training I,I/M,"This course is geared toward students with or without performance experience. Together we will establish a common language to define the most important tools for an actor. Through a series of games and exercises, students develop new skills and practice making bolder, clearer choices within improvised, devised or established scenes. The goals are to create confidence in any sort of performance situation and to find ways of applying acting skills to other academic and outside experiences. Evaluation is based on participation in class activities and discussion, successful completion of all performance projects, including productive rehearsal time and an organized portfolio of written responses. There will be at least one field trip. Default grading option for this course is CR/NC.",,ADS
HS4119,S26,"Sullivan, Leeann","Mutal aid, Past, and Future",M/A,"Contemporary political theory often explores how our established institutions drive seemingly intractable forms of ecological degradation and social harms. These critiques can offer potent models for pathologizing the injustices around us, but—by their magnitude—are also exhausting, making it difficult to imagine alternative ways of living together. As climate change disrupts our food systems, as pathogenic diseases spread and mutate, as social conflict grows, how can we possibly dream of more just and sustainable futures when we are regularly consumed with what it takes just to survive?In this highly interactive course, we will explore one possible answer to this question by considering whether mutual aid—both as an idea and as a really-existing practice—offers any useful speculative and technical tools for responding to our emerging “polycrisis”. We will first theorize mutual aid through a biological lens as a tactic of survival among species, and situate this theory in historical and social context. We will then explore mutual aid as an emergent practice that is always already occurring around us, and conclude by discussing the potentialities it opens (and those that it doesn't) for imaging alternative futures within, without, and around our existing institutions. Students in this course will be expected to read and reflect on high-level theoretical texts, participate actively in classroom discussion, and engage in community and campus-level projects that mirror our classroom discussions. Students will also conduct and self-publish original research on how mutual aid networks emerge in domains such as food, medical care, and community support work. Evaluation will be collaborative, based on engagement and intellectual growth and application of themes both in and outside of the classroom. Level: Intermediate/Advanced. Prerequisites: While we will briefly review critical theory as a thematic lens, students should enter the class with some existing knowledge of the subject and its applications to food systems, environmental justice, and/or contemporary social problems. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS.",,HS
ES1096,S26,"Hilliard, Rich",Chemistry II,I,"This is the second half of a two-term sequence designed to help students describe and understand properties of materials. Topics include kinetics, equilibria, thermodynamics, electrochemistry, chemistry of the nucleus, and an introduction to organic chemistry, with a focus on applications in each case. The course meets for three hours of lecture/discussion and for three hours of lab each week. Students are strongly urged to take both terms of this course. Evaluations are based on problem sets, lab reports, and quizzes.Level: Introductory. Prerequisites: none. Class limit: 15. Lab fee: none. Meets the following degree requirements: ES, QR.",,ES QR
HS1094,S26,"Rand, Kendra",Public Speaking Workshop,I,"Consider all the ways that public speaking could be a part of your academic and professional paths: presenting your research, sitting on a webinar panel, speaking up at ACM, advocating for an urgent cause or policy, preparing your senior project presentation, delivering a formal address at a special occasion, or even deciding to perform spoken word at an open-mic. This course will prepare you to thoughtfully analyze your audience, research and organize relevant information, and deliver the critically important, well-prepared presentation that you’re capable of. Along the way we will be guided by, and critically analyze, three varied and sometimes contradictory premises: that it’s imperative to master the art of formal, standard presentation/speech delivery, that it’s equally important to respect and refine your own unique, authentic voice and speech communication style, and that important change happens when we both listen carefully and speak up loudly. This class will be conducted as a workshop with an emphasis on students producing increasingly advanced speeches for public performance and/or consumption. Students will complete three graded, “formal” presentations while also considering additional creative approaches and formats for public communication. Students will work with a variety of short texts and videos to generate new ideas and helpful public speaking habits. The real benefits of this course come from the positive, supportive, environment in which students can practice new public speaking skills and learn from each other. This class emphasizes a fun, dynamic, “hands-on” approach to constructing speeches. Students who feel that they are less proficient in the area of public communication should not be worried that this would somehow disadvantage them in terms of their overall evaluation. All students, regardless of their levels of comfort, experience, or and English-proficiency are encouraged to consider this course. This workshop is designed to help you improve your public presentation skills regardless of whether you are a complete novice to public speaking, or already have many years of practice. Your final evaluation for the course will be based on your engagement with the process, not on some objective standard of who gave the best speeches. Level: Introductory. Prerequisites: None. Class limit: 14. Lab fee: None. Meets the following degree requirements: HS.",,HS
ES3112,S26,"Brothers, Tionna",Organic Chemistry II,M,"This course explores the physical, chemical, and environmental properties of carbon-containing materials such as plastics, solvents, dyes, and living things. The emphasis of this course is to apply foundational principles of Chemistry and Organic Chemistry I to gain perspective on how these processes fit into everyday life: materials and processing, research and medicine, connection to biochemistry, and food production. Evaluation will be based on: problem sets, quizzes, labs, a mid-term exam, and a final exam. Level: Intermediate. Prerequisites: A previous chemistry course. Offered every other year. Class limit: 15. Lab fee: $60. Meets the following degree requirements: ES.",,ES
ES1098,S26,"Edwards, Torrie",Introduction to CS: image and sound,I,"Did you know, computers can be used to build and modify images and sound bytes? In this course, students with little to no prior computer experience will learn the foundations of computer science through projects focused on visual media and sound. This work will culminate in a final project consisting of an interactive display or exhibit. It will be helpful if you are interested in art and sound, but no prior experience is necessary. Students who successfully complete this course will have learned: 1)How to read a simple program and correctly describe the outcome, 2)How to take a problem statement and convert it into code, and 3)How basic computer memory works. In addition, students will gain new ways for conceptualizing and working with image and sound that they will be able to draw on in their creative and scholarly practice. While this is an introductory course, it is important to note that learning to program is like learning a new language. There is a time commitment to learning new syntax and understanding the language of computing. This course is taught in Python, and students will be evaluated on weekly check-ins and projects. This course, or the equivalent, is required for many further courses in computer science and related areas. Level: Introductory. Prerequisites: None. Class limit: 15. Lab fee: None. Meets the following degree requirements: QR.",,QR
HS3120,S26,"Breslow, Peter","Audio Journalism: Reporting, Producing, Storytelling",M,"This will be a ""soup to nuts"" course in audio journalism geared towards the beginner. In this class we will detail: how to record and edit audio; interviewing techniques; writing for broadcast; how to voice a script—all leading to the creation of an NPR style piece. This is very much a journalism class. Through a series of ever more challenging assignments – both individual and with a partner; in class and out – students will not only acquire the expertise to produce a compelling radio piece, but come to understand the ethics of audio journalism. The format for the course will be a hands-on workshop with a heavy workload of reporting assignments that we will critique together in review sessions. A significant amount of a student's time outside of class will be dedicated to reporting stories, editing audio and writing scripts followed by individual edit sessions with the instructor. We will also be hearing from a number of noted journalists who will Zoom into the class on a broad range of topics. Students will be evaluated on their timely completion of assignments, overall improvement, their constructive engagement with group critique sessions and Zoom guest speakers, and their follow-up on edit suggestions from the instructor. This class is open to all students interested in journalism and audio production. There are no prerequisites, though prior experience in journalism, narrative writing or audio recording and production is helpful. Level: Intermediate. Prerequisites: None. Class limit: 10. Lab fee: None. Meets the following degree requirements: HS.",,HS
ED 5010,S26,"Schultz, Eloise",Curriculum Design and Assessment,,,,
AD4049,S26,"Kim, June",Advanced Photography,M/A,"This course is designed to provide students opportunities to build on their technical and conceptual skills of photography created in accordance with the creative vision of the photographer. There will be a focus on photographic image-making within a fine art context in conjunction with development of heightened awareness and concepts in relation to personal perspective. Each class will include discussion of reading assignments, in-class shooting assignments, looking at contemporary artists and their photographic practices. Art concepts, ideas, and critiques of ongoing student work will occur weekly. In addition, there will be an individual meeting with the instructor at midterm aimed to solidify each student’s work. Students will be evaluated based on the completion of a series of assignments, the development of a self-chosen body of work, participation in class discussions/critiques and class attendance.Level: Intermediate/Advanced Prerequisites: Introduction to Photography or some photography experience/knowledge. Class limit: 12. Lab fee: $110. Meets the following degree requirements: ADS. ",,ADS
AD4050,S26,"Henderson, Jonathan",Sound Studies Practicum,M/A,"How are artists and scholars of sound engaging various crises in the anthropocene? What are the possibilities and limitations of responding to or representing a place through sound recording and playback? How do contemporary composers and sound artists engage place-specific material in their work? This practice-based course examines the interdisciplinary field of sound studies through close reading, listening, and hands-on (ears-on?) work in sound. Students will create place-based recording projects and site-specific sound installations that draw on local fieldwork excursions around Frenchman Bay, as well as on archival research connected to the Maine Sound and Story Archive and others. Students will sharpen skills in field recording, audio editing, multi-channel sound mixing and presentation, artistic collaboration, and building sonic-rich soundscapes as they work to create immersive sound art projects. This class will work to expand the narrative podcast format, seeking more abstract and layered forms that draw on research and storytelling to help audiences sense a place or a concept through the experience of sound. The course will examine key readings in the field of sound studies, and investigate the practice of sound artists working at the intersections of sound and climate change, sound and social (in)justice, the repatriation of sound recordings, sound and ethnographic practice, and more. Students must have prior experience recording and editing sound, and a willingness to collaborate with their peers to synthesize and realize their ideas. This course will involve fieldwork excursions outside of class time. Evaluation will be based on class participation, engagement with class projects and assignments, and the demonstration of learning in relationship to course content.Level: Intermediate/Advanced. Prerequisites: At least one of any of the following courses (or by permission of the instructor): AD4015 Film Sound Image, HS3100 Within Living Memory, AD 1058 Dissecting Popular Music, HS3122 Navigating Change, HS3120 Audio Journalism, AD3014 Soundscape, AD1040 Audio Production and Engineering, AD 1072 Audio Production as Compositional Tool. If you have not taken one of these courses but feel you have the background to take this course, please reach out to the instructor. Class Limit: 12. Lab fee: $50. Meets the following degree requirements: ADS.",,ADS
AD2046,S26,"Winter, Josh",The Contemporary Landscape in Photography,I/M,"This course examines the techniques and expressive possibilities of photographing “natural” landscapes, the built environment, and the intersection of the two subjects. Using historic makers for inspiration some slide lectures will be included, but each student will be expected to do some research on their own to find inspiration from other artists. Being inclusive of various aesthetics, we’ll explore differing expressions of beauty and students will be expected to engage ways of working outside their own comfort zone. Readings by Rebecca Solnit, Lucy Lippard, Frank Gohlke, Deborah Bright, Robert Adams, Richard Misrach, John Stilgoe, Bill McKibben, and Geoffrey Batchen, among others, will inform our discussions. Weekly shooting assignments, and readings will be expected prior to mid term. After mid term, you will work toward one final project that explores your own personal expressive choices based on your interests and affinities. These final projects will be displayed publicly, if possible, during week ten. Some prior experience with Adobe Lightroom Classic or Photoshop is highly recommended. Students will be evaluated on the completion of weekly and final projects, and participation in discussions and critiques; pass/fail grade encouraged.Level: Introductory/Intermediate. Prerequisites: AD1026 Introduction to Photography. Class limit: 12. Lab fee: $100. Meets the following degree requirements: ADS",,ADS
,S26,"Muller, Brook",_ no classes,,The instructor is not teaching any courses this term.,,
AD1084,S26,"Ialeggio, Anna",Wheel-thrown Pottery,I,"The potter’s wheel can be traced back to the ancient Sumerians, as early as 3,250 B.C.E. With that as our starting point, this introductory studio focuses on vessel-making techniques and traditions through intensive training on the wheel. It is designed for students to develop a unique spatial and material language in clay, grounded in the possibilities and limitations of radial symmetry. A series of technical assignments will build skill, prompt creative problem-solving, introduce basic physical and chemical ceramic processes, and explore form and function through various human ecological frameworks. As always, we make our own clay and keep the studio clean together.Evaluation is based on participation in class activities (exercises, presentations, readings, discussions, occasional writing and/or drawing prompts), significant studio time outside of class, timely completion of all projects with corresponding group critique sessions, and consistent involvement with studio maintenance. A sketchbook is required.Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: $120. Meets the following degree requirements: ADS.",,ADS
AD1083,S26,"Ialeggio, Anna",Growth & Decay: Ecological Sculpture,I,"How might a sculpture decay or grow, becoming an active part of its environment? How might biomimicry offer us tactics for surprising or outsmarting ourselves? What could it mean to make an artwork in an “erosive” or “sedimentary” way? What creative possibilities can follow an unforeseen or catastrophic change? This sculpture course takes its cues from the many processes occurring spontaneously in the natural world: growth, decay, metamorphosis, erosion, accretion, collapse, drift, and more. We will work in tandem with natural processes as both practical and conceptual methodologies. A series of individual and collaborative projects will prompt experiments in eco-sculptural production which engage our own lived experiences of the natural world with criticality and emotion. Expect to encounter familiar materials (wood, textiles, clay) as well as some that may be new (plant matter, paper pulp, recycled and discarded objects, etc). Ideally, this class will collectively make a sculptural contribution to the campus, addressing ecological themes and issues particular to our bioregion and community.Evaluation is based on participation in class activities (exercises, presentations, readings, discussions, occasional writing and/or drawing prompts), significant studio time outside of class, timely completion of all projects with corresponding group critique sessions, and consistent involvement with studio maintenance. A sketchbook is required.Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: $100. Meets the following degree requirements: ADS.",,ADS
AD2051,S26,"Ferrari, Melissa",Visualizing Truth: Animated Documentary,I/M,"For over a century, filmmakers have used animation to imagine realities that can’t be captured on live-action film. From the stop motion scientific visualization of stag beetles in Wladyslaw Starewicz’s ""Lucanus Cervus"" (1910) to Winsor McCay’s dramatic hand-drawn re-enactment of ""The Sinking of the Lusitania"" (1918), early animated documentary was both embraced for its ability to visualize the unseeable and wielded as a powerful tool for propaganda. In recent decades, animation has grown increasingly popular as a mode of nonfiction filmmaking, celebrated for its ability to poetically moderate complex truths with raw emotionality; process identity, trauma and memory; and explore collective histories.In this course, students will make a series of short nonfiction animation projects. Techniques might include comics, journalism, rotoscoping, scientific visualization, observational palimpsest, and archival stop motion. Discussion topics will cover the ethics of representation and appropriation, research methodologies, photographic indexicality, embodying empathy through anonymity, and navigating the truth of constructed images in a post-truth media landscape. Readings and screenings of historical and contemporary animated documentaries will introduce students to the field, including films by Penny Lane, Jonas Poher Rasmussen, Mona Chalabi, Ng’endo Mukaii, Alisi Telengut, Kyungwon Song, Sheila Sofian, Danski Tang, and Adam & Zack Khalil. Students do not need animation experience to enroll in the class—supplementary technical workshops will provide students with instruction in the necessary software and tools, including Dragonframe and Adobe Premiere. Students will be evaluated on their successful and timely completion of assignments, critical engagement with reading/screening materials, and thoughtful participation in class discussions.Level: Introductory/Intermediate. Prerequisites: Students should have taken at least one art, film, or animation class, or have previous experience in art or filmmaking. Class limit: 12. Lab fee: $60. Meets the following degree requirements: ADS.",,ADS
AD4064,S26,"Ferrari, Melissa",Moving Image Studio: Short Films,M/A,"Moving Image Studio is a space for students to take on the entire process of making a short film. Students are welcome to work collaboratively or independently and will be expected to complete their film throughout the term. Projects might include documentary, animation, experimental or narrative shorts, and any techniques are welcome—for instance, puppet animation, 16mm cameraless filmmaking, or observational documentary. Each student will start the course by pitching their idea to their peers and creating a production schedule for the term, following the path of pre-production, production of sound/image, post-production, and a final screening. The class will be scheduled to accommodate group critiques of works-in-progress, independent production time, and one-on-one technical and conceptual guidance. Students who are currently working on a film project or wish to continue a previous class assignment, and would like a supportive setting to bring their film to completion, are encouraged to enroll in this class as well.Workshops, virtual artist talks, and screenings will cover topics such as pre-production strategies, professional practices, software techniques, and film festivals. Depending on their production workflow, students may use moving image software like Adobe Premiere, After Effects and Dragonframe.Students will be evaluated on their successful completion of their film project, including adherence to production schedules, and thoughtful participation in critiques and class discussions. Level: Intermediate/Advanced. Prerequisites: Students should have previous film, video or animation experience. Class limit: 12. Lab fee: $80. Meets the following degree requirements: ADS.",,ADS
AD1071,S26,"Sebastian, Neeraj",Fundamentals of Painting,I,"In this course, students will be introduced to the basic aspects involved in the process of translating what they are observing in space onto two-dimensional surfaces in oil paint. Students will be introduced to the basics of color theory, mixing and matching colors, and also explore how color can change depending on context. Through the assignments we will investigate how form, volume, space and light can be captured in paint. Students will learn how to build their own frames and stretch and prepare canvases for painting and develop a studio practice, which includes cleaning and maintenance of brushes, the palette and other tools. A broad range of ideas and concerns in painting throughout history, from various parts of the world will be introduced in the class. In the last part of the term, different aspects of composition will be discussed: the way colors and shapes can work together to create an integrated image. Assignments will include quick paintings as well as paintings that are made over the course of multiple class sessions. The assignments over the course of the term will build students’ confidence in translating what’s in front of them, which makes the task of taking on the images in their heads, the images they are interested in, less daunting.Students will learn how to look at and analyze their peers’ work and provide them with constructive feedback during critiques. Previous drawing experience at high school or college level is strongly recommended. Evaluation will be based on how the specific criteria set for each assignment are met, participation and engagement during critiques, and receptivity to feedback.Level: Introductory. Prerequisite: None, but previous drawing experience at high school or college level is strongly recommended. Class limit: 12. Lab fee: $120. Meets the following degree requirements: ADS.",,ADS
AD4019,S26,"Clinger, Catherine",Studio Printmaking,M/A,"Printmaking is the process of transferring an image from one surface to another. A print mirrors the surface whence it came and also performs as a reflection of the physical and/or immaterial realms of objects and ideas. Representing concepts clearly in any medium requires an artist to engage in thoughtful collaboration with materials in order to realize the potential of form as a means of expression. This studio course will explore ways to address this aesthetic challenge through printmaking. Students will acquire basic skills as printmakers with an emphasis on relief (woodcut and linocut) and intaglio (line etching, engraving and aquatint) techniques. They will also develop a broad understanding of the history of prints; how they have functioned to communicate, document, and transmit information through images on paper. Students will be evaluated on their projects, participation in critiques, level of engagement with materials, ability to work in a collaborative studio, and final project. Level: Intermediate/Advanced. Prerequisite: Permission of the instructor, Introduction to Arts and Design, and a drawing class. Class limit: 8. Lab fee: $200. Meets the following degree requirements: ADS",,ADS
AD1052,S26,"Capers, Colin",Cinematic Vision of Marginalized People,I,"Production modes, market concerns, and privilege of access, in addition to the greater concerns of racism, sexism, classism and other social biases have all historically contributed to the predominance of a narrow range of cinematic voices being experienced by most audiences. But from the dawn of cinema there have been those working on the edges to realize visions that speak to many modes of otherness and to different manners of being, of belonging. In this class we will investigate a range of diverse moving image works and engage with texts that help contextualize and elucidate the works and the creative impulses/individuals behind them. The roster of movies viewed this term will be chosen collaboratively from a curated list by the group at the beginning of the term so as to most effectively engage with the particular interests of this configuration of students; choices include (but are not limited to) films and videos made by and about members of the following communities: LGBTQ+, neurodiversity, seniors, economically disadvantaged, homeless, people with disabilities, people of faith, Inuit, Roma, Sami, Maya, Palawan, Amhara, African diaspora, Indigenous peoples of the US and Australia. Focus will be primarily on narrative forms, but some works with experimental aspects may be featured. Potential filmmakers include: Samira Makhmalbaf, David Gulpilil, Cheryl Dunye, Tony Gatlif, Euzhan Palcy, Haile Gerima, Mati Diop, Derek Jarman. Students will be evaluated on their participation in class discussions and on two papers written over the course of the term. In these papers students will be asked to demonstrate a balance between research into a group of works of their choosing and exploration of their own aesthetic and emotional responses to these works.Level: Introductory. Prerequisites: none. Class limit: 16. Lab fee: $30. Meets the following degree requirements: AD",,AD
MD4016,S26,"Baker, Jodi",Space and Time,M/A,"Drawing on geological and environmental science research practices as well as time based art, performance studies and movement training principles, this course explores some of the ways in which scientists and performing artists investigate space and time across different scales and distinct histories. Students will generate questions rooted in observation and analysis and consider what it means to map a story or locate an object or body, including oneself, in a given context (real or imagined). We will utilize existing datasets as well as make and record new observations, practicing visualization, embodiment and interpretation as well as intellectual, emotional and physical response. A large portion of the course involves working within boundaries and tight constructs as a means of thinking over vast and varied scales of time and space. Through this work, students will gain new understanding of the challenges and opportunities in communicating and making choices across disciplinary languages, symbology and structures. Students will engage with a variety of readings, datasets, film, video, physical training and fieldwork. Evaluation is based on active participation and demonstrated engagement with all course topics, a sequence of short projects, and a final synthesis. The course is enrolled by permission of instructor. Level: Intermediate/Advanced. Prerequisites: Priority will be given to students with previous Environmental Science course work (including collecting and analyzing data) and/or previous Performance or Movement Training course work. Class limit: 12. Lab fee: $50. Meets the following degree requirements: None.",,
ES3014,S26,"Anderson, John",Ecology,M,"This course examines ecology in the classic sense: the study of the causes and consequences of the distribution and abundance of organisms. We examine the assumptions and predictions of general models of predator-prey interactions, inter- and intra-species competition, island biogeography, and resource use, and compare these models to the results of experimental tests in lab and field. In addition we discuss appropriate techniques used by ecologists in collecting data in the field, note-taking and the appropriate collation and storage of field data. Although this course is NOT a course in Conservation Biology, we examine how ecological principles are applied to conservation questions. Readings include selections from the primary literature. Students are evaluated on the basis of class participation and two in depth problem sets,drawing extensively on the primary literature.Level: Intermediate. Prerequisites: Biology: Form and Function. Class limit: 12. Lab fee $75. Meets the following degree requirements: ES",,ES
AD2017,S26,"Clinger, Catherine",Drawing Mineral & Botanical Matter in the Forest of Maine,I/M,"Viewed as a regular practice, the descriptive power of drawing can intensify the experience of observational fieldwork, provide the draughtsperson with a richer understanding of the cycles within a landscape, and deepen our relationship with the natural world. The primary setting for this studio course is Mount Desert Island. The subject matter of our visual attention includes trees, rock features, and other indigenous plant life of the island. Students will learn a variety of drawing methods in order to document the natural history of a specific place. Coursework includes: maintaining a field sketchbook, graphically recording the development of a singular botanical life-form over the course of the term, and producing visual notations in the sketchbook during a bi-weekly slide lecture on the history of artistic representations of the natural world. Evaluation is based on class participation, evidence of completion of weekly assignments, and final project.",,ADS
AD1072,S26,"Soares, Zach",Audio Production as Compositional Tools,I,"In 1979, the music producer Brian Eno argued that the recording studio is a “compositional tool,” upending the idea that the recording studio exists to document pre-existing musical compositions. His assertion came on the back of pivotal albums such as The Beatles’ “Revolver” and The Beach Boys’ “Pet Sounds” (1966), which demonstrated the creative possibilities of composing in the studio. We might call this type of approach to music composition “playing the studio.” In this course, students learn how music production makes use of editing, mixing, and effect processing to maximize its impact. Through readings, film screenings, and audio listening sessions, students learn about past and present studio techniques and use these techniques during audio projects and exercises. Students learn to use virtual instruments, effect processors, microphones, and COA’s recording studio to strengthen their technical audio recording, editing, and mixing skills. Students will be evaluated based on their participation in class discussions, their fluency in the use of recording equipment and software, the process they use to approach each assignment, and the completion of assigned projects. No prerequisites or sound/music experience is required.Level: Introductory. Prerequisites: None. Class limit: 10. Lab fee: None. Meets the following degree requirements: ADS.",,ADS
HS3068,F26,"Cox, Gray","Linguistics, Language, & Culture: A Human Ecological Approach",M,"This course explores the basic questions concerning the origins, nature, history, functions and philosophical significances of human languages. Comparisons to other species and to machine languages will also be examined. Readings will include classics texts by Chomsky and others as well selected materials from diverse disciplines such as linguistic anthropology, psychology, ethology, aesthetics, history of languages, and philosophy. Class sessions will include a mix of discussion, lecture, and visiting speakers. Each student will undertake a term-long project examining some topic of interest and examine it from the point of view of the different disciplines and theories covered in the course. Project topics might include, for example: the development of identity, the articulation of gender, forms of representation, the expression of emotion, concepts of rationality, relations between meaning and truth, and communication in an age of artificial intelligences. The goals of the course are: 1) to familiarize students with the range of phenomena associated with language and the principal questions they raise and the theories used to interpret them and 2) to develop skills in researching interdisciplinary questions. Assignments will include two problem sets, a series of weekly homework exercises, and the term project which must be presented both orally and in a major paper due at the end of the term. Evaluation will be based on the extent to which in-class participation and work on the assignments demonstrates substantive progress on the two goals of the course. There are no specific prerequisites, but students will be expected to be able to contribute insights, information and questions from previous work in relevant disciplines and/or studies of languages, undertake challenging readings, and pursue a major independent project.",,HS
HS2087,F26,"Collum, Kourtney",Transforming Food Systems,I/M,"This course explores possibilities for transformative change across local and global food systems. The course centers on the questions: What would it take to ensure access to healthy, safe, affordable, culturally appropriate foods for all people? The first part of the course critically examines capitalist food systems with particular attention to the ways culture, politics, and economics shape our interactions with food. Through readings and exercises, we explore issues such as nutrition, worker safety, contested agricultural and land use policies, hunger, and environmental and community health. The second part of the course examines case studies of transformative food movements around the world, from the Zero Hunger programs in Belo Horizonte, Brazil, to La Via Campesina global campaign for agrarian reform. We focus particularly on food sovereignty and agroecology movements. The final third of the course focuses on transformative work in Maine and at COA. Students take multiple field trips to participate in local movements and to learn about their philosophies, objectives, and activities. By the end of the course, students will be able to analyze how power shapes food systems and articulate a theory of change for addressing a food systems problem of their choice. Students are evaluated based on participation in class discussions and field trips, a series of reflection papers, and a final project including a paper and an audio-visual presentation.Level: Introductory/Intermediate. Prerequisites: None. Class limit: 20. Lab fee: none. Meets the following degree requirements: HS",,HS
HS2121,F26,"Donovan, Martha","Writing as Art, Craft, and Social Action",I/M,"We write to discover what awes us, what questions we most need to ask, what conversations we hope to join, what causes we are drawn to support, what convictions we want to voice, and what ways we can write the world anew. Writing is both an art and a social action that can change us and our audiences. That is the province of this course.We will read and analyze various forms of writing (genres) on a broad range of social and policy issues, such as the value of wonder, the importance of antiracist work, the need for accessibility policies on college campuses, and other issues. We will consider the craft, context, audience, purpose, and possibilities of these texts as guides for our own writing. We will focus on the possibilities of the written and spoken word; the power of our distinct and unique voices; the importance of taking risks in our thinking and writing; the messiness, urgency, and necessity of the writing process; and the value of intellectual inquiry and the seamless integration and documentation of researched material. Students will address current issues of pressing concern and personal relevance in their own writing in three different selected genres (e.g., reflective essay, commentary, letter to editor, Commencement speech, testimony, proposal, open letter, personal statement, etc.). Students will examine and develop strategies for writing with curiosity, clarity, complexity, creativity, courage, and compassion as they invite their audience to consider their ideas and invitations/calls to action. Students will write about issues that matter to them, ones of interest to a local (Mount Desert Island or home town), state (Maine or home state), and/or national audience.Classwork will include various analytical, generative, and collaborative exercises designed to help with matters of language, craft, technique, and rhetorical awareness. Students will write for a public audience and participate in active engagement with each other’s work.Authors (representing a range of genres and topics) will likely include Annie Dillard, Rachel Carson, Barry Lopez, David Whyte, Margaret Renkl, Toni Morrison, Martin Luther King Jr., Terry Tempest Williams, and others. Students will also select a longer text to read from a list of authors that may include Jonathan Safran Foer, Susan Cain, Felicia Rose Chavez, Claudia Rankine, and others.Students will be evaluated on class participation, written assignments, writing process, and presentations. Level: Introductory/Intermediate. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: W, HS.",,W HS
