FacultyName,CourseName,CourseDivision,Level,Description,Bonus Information
"Cline, Ken",Hydro Politics in a Thirsty World,HS,Advanced,"This course will look at the complex issues surrounding the development, distribution, use and control of fresh water around the world. Focusing primarily on developing countries, we will examine three aspects of water use and control. First we will look at the scope and impact of water development projects; second we will examine the conflicts and solutions related to transboundary river basins; and third we will consider the implication of privatization of water resources. By way of background, we will review the variety of demands placed on fresh water and the political institutions related to water development. Students will gain a solid background in international environmental law as it relates to multilateral and bilateral treaties, customary law, multilateral institutions, and the guidance of international ""soft law"". They will also understand the allocation and equity issues surrounding the privatization of water and the political dimensions of this shift. Ultimately, these issues will give a concrete understanding of some aspects of the concept of sustainable development. Evaluation will be based on class participation, short analytical papers, and a substantial term-long assignment.",
"Feldman, David",Introduction to Chaos and Fractals,ES QR,Introductory,"This course presents an elementary introduction to chaos and fractals. The main focus will be on using discrete dynamical systems to illustrate many of the key phenomena of chaotic dynamics: stable and unstable fixed and periodic points, deterministic chaos, bifurcations, and universality. A central result of this study will be the realization that very simple non-linear equations can exhibit extremely complex behavior. In particular, a simple deterministic system (i.e., physical system governed by simple, exact mathematical rules) can behave in a way that is unpredictable and random, (i.e., chaotic). This result suggests that there are potentially far-reaching limits on the ability of science to predict certain phenomena. Students in this class will also learn about fractals---self-similar geometric objects---including the Mandelbrot set and Julia sets. We will also read about and discuss the development of the field of chaos. In so doing, we will examine the nature of scientific communities, with a particular eye toward how changes in scientific outlooks occur. Throughout the course, students will be encouraged to explore the relations between chaos, fractals, and other areas of study such as literature, art, and cultural studies. Students who successfully complete this class should gain a quantitative and qualitative understanding of the basic ideas of chaos and fractals, a greater understanding of the cultural practice of science, and improved mathematical skills. Evaluation will be based on class and lab participation, weekly problem sets several short writing assignments and a final project.Level: Introductory. Prerequisite: A high school algebra course or signature of instructor. Lab fee: $10. Class limit: 24. Meets the following degree requirements: ES QR",
"Edwards, Torrie ",Introduction to Computer Science: Image and Sound,QR,Introductory,"Did you know, computers can be used to build and modify images and sound bytes? In this course, students with little to no prior computer experience will learn the foundations of computer science through projects focused on visual media and sound. This work will culminate in a final project consisting of an interactive display or exhibit. It will be helpful if you are interested in art and sound, but no prior experience is necessary. Students who successfully complete this course will have learned: 1)How to read a simple program and correctly describe the outcome, 2)How to take a problem statement and convert it into code, and 3)How basic computer memory works. In addition, students will gain new ways for conceptualizing and working with image and sound that they will be able to draw on in their creative and scholarly practice. While this is an introductory course, it is important to note that learning to program is like learning a new language. There is a time commitment to learning new syntax and understanding the language of computing. This course is taught in Python, and students will be evaluated on weekly check-ins and projects. This course, or the equivalent, is required for many further courses in computer science and related areas. Level: Introductory. Prerequisites: None. Class limit: 15. Lab fee: None. Meets the following degree requirements: QR.",
"Gagnon da Silva, Pamela",Introduction to Feminist Therapy: Practices and Principles,HS,Introductory,"Feminist Therapy is focused on empowerment through self-awareness and self-assertion as shaped by an understanding of the larger social and political constructs that influence our thoughts and behaviors. In practice the application of feminist therapy synthesizes tenets of gender-based psychology, psychosocial theories of lifespan development, multicultural analysis, and applied social change activism with the objective of self evolution in relation to personal, social, political, and cultural exchanges.This course offers an overview of the origins and applications of feminist therapy as a conceptual framework developed in response to androcentric therapies. We will begin by acknowledging the forerunners of feminist therapy such as Karen Horney and Leta Stetter Hollingworth. We will continue studying the contributions of contemporary feminist therapists such as Ellyn Kaschak, Lenore E. Walker, Jean Baker Miller, and Laura Brown, including prominent contributions by women of color in clinical psychology such as the work of Ruth Winifred Howard and Ellen Kitch Childs, and those who are currently pioneering the development of women’s psychology in other countries such as Vindhya Undurti. We will explore the core principles of feminist therapy, and the influences and implications of power and gender biases at play in clinical practice throughout assessment, diagnosis, and treatment. Students will have the opportunity to learn about feminist therapeutic techniques.The objective of the course is to aid students in developing a functional knowledge of feminist therapy and its various clinical applications. Students who have a desire to pursue psychotherapy and social work are encouraged to consider this course as a means of understanding the benefit of feminist therapy in the development of egalitarian therapeutic relationships.The class format includes lectures, roleplays, media presentations, interviews with guest speakers, group work, and discussions. Opportunities will be provided for students to reflect upon experiences, to practice skills, and apply learning through a community project.Students will be evaluated on their critical thinking, analysis, and synthesis of the course goals and objectives as demonstrated by participation in class activities, responsiveness to required and suggested readings as evidenced by successful completion of course assignments and active participation in lecture generated discussion.Level: Introductory. Prerequisites: Introductory Psychology and/or courses in Feminist Theory. Class Limit: 12. Lab Fee: None. Meets the following degree requirements: HS.",
"Stephenson, Toby",Introduction to Marine Navigation,QR,Introductory,"This is an introductory course that teaches students the principles and primary skills of navigation in coastal waters, utilizing compasses, charts, electronic plotters, radar, and, to some extent, quadrants. This will happen through a combination of theoretical, celestial, loxodromic, and radio navigation,and the practical: charting courses on paper, steering courses on the water, and the construction of traditional navigation instruments that help to cement the value of using angles for reading positions relative to celestial objects. The first half of the course will be devoted to early history and the theoretical, and practical, art of navigation; the second half of the course will focus on constructing instruments, such as cross-staffs and backstaffs, and participating in fieldwork aboard the college’s MV Osprey, putting skills to practice. We will explore, to a limited degree, modern methods of navigation by using radar and GPS, and we will visit the Maine Maritime Academy simulator for a virtual experience piloting a large ship in congested waters. The main focus will be to cement primary navigation skills and knowledge so that students are comfortable conducting small vessel navigation on local waters by the end of the course. This course is open to all students interested in navigation and is particularly suited for those considering maritime careers. Students who successfully complete this course will be able to: understand the fundamental principles of navigation; plot courses of travel, fix a position and perform dead reckoning calculations; appreciate the role of celestial movements and magnetic variations that influence navigation; and use hand tools to craft instruments used in early navigation. Evaluation will be based on journal entries, attendance and participation in class and field trips, problem sets and quizzes, and a final assessment. Level: Introductory. Prerequisites: None. Class limit: 10. Lab fee: $150. Meet the following degree requirements: QR.","<p>I just want to let you all know that the navigation course I am teaching this spring is NOT the same course I taught this past fall. </p><p>Because of the long waitlist for that course, I did indicate to many student that I would teach the same course again, however, that is not the case. The new course is a true introduction to navigation class, and it will provide much more time learning paper navigation and putting those skills to use on board Osprey than what the previous course was able to provide. </p><p>There is still too much similarity between the two courses for me to allow student in last term’s course to take the new course, but I am working on a Boat Systems and Operation course for FA26.</p>"
"Nguyen, Duc Hien",Introduction to Political Economy,HS,Introductory,"This course introduces students to the study of political economy from a Marxist perspective. Unlike economics which focuses on various parts of the economy, whether at the micro- or macro- level, political economy focuses on the intertwining of power and money, or how politics affects the economic system and how the economy in turn shapes politics. As most of the world now lives with variants of the capitalist economic system, we will devote our time to study the structure of capitalism, its logics, as well as its contradictions and malfunctions. We will do so by engaging with Karl Marx’s original writings, which to this day still constitute one of the most fundamental and insightful critiques of the capitalist economic system. Marx’s Capital, Volume One will be both our guiding posts and a useful entry point for thinking about a wide range of issues, including labor and value, commodity fetishism and consumerism, capital accumulation and exploitation, and the ongoing violence of accumulation through dispossession, colonization, and other means.As Eric Wolf, the late anthropologist, has noted, “the social sciences constitute one long dialogue with the ghost of Marx” (Europe and the People without History, 1982). Rather than being Marx’s disciples, we strive to be his interlocutor. As such, in addition to selections from Marx’s key works, we also read current Marxian political economy scholarship that draws on, critiques, and pushes its boundaries This course is valuable for any students who are interested in politics, economics, international development, future study, food systems, climate justice, social changes, and any area of studies that grapple with capitalism in its transnational, racialized, and gendered dimensions. Upon completion, students will have developed practices of thinking critically and imaginatively about capitalism’s fundamental drives, uneven development, appetite for technological innovation, and tendency towards violent expansion. No previous knowledge is required, but students should be prepared to read complex, abstract texts. Students will be evaluated through bi-weekly reading reviews (approximately 3-5 pages of critical reflection based on assigned readings) and a final project.Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS.",
"Todd, Sean",Introduction to Statistics and Research Design,QR,Introductory/Intermediate,"This course introduces the basics of statistical analysis that can be used in either a scientific or a social science frame of reference. While this course teaches you to perform both nonparametric and simple parametric analysis both by hand and computer, an emphasis will be placed on understanding the principles and assumptions of each test, rather than mathematical ability per se. We will also learn how to report statistical results in journal format, and there will be plenty of lab time to sharpen skills. Evaluation is based on lab participation, three quizzes, and a team project. Level: Introductory/Intermediate. Prerequisites: A college mathematics course, or signature of the instructor. Class limit: 12. Lab fee: $40. Meets the following degree requirements: QR.",
"Hill, Kenneth",Introduction to the Counseling Process,HS,Advanced,"This is intended as a survey course that will overview the contemporary theories, issues, and techniques of professional counseling. In brief, topics to be considered in this course include; a) legal and ethical responsibilities associated with professional counseling); b) assessments of differing therapeutic approaches (theories and techniques) to the counseling process; and c) reflection on the changing perspectives and practices in counseling including pluralism and diversity models. Students will begin to develop their own perspective of counseling through lectures and discussion, demonstrations, guest speakers, case studies, mock counseling sessions, reading, and writing papers. Experiential learning, through mock counseling sessions, with feedback from classmates and the instructor, will be stressed. Evaluation will be based on written assignments, class participation, and independent research.Level: Advanced. Prerequisites: A least one psychology course. Class limit: 12. Lab fee: None. Meets the following resource area requirements: HS.",
"Anderson, John",Island Life,ES HY,Intermediate/Advanced,"Islands have played a major role in the development of ecological and evolutionary theory. Most recently, islands have served as an important metaphor in the development of conservation biology. Maine is blessed with a plethora of islands -between 4500 and 6000 at the last count- and the history and pre-history of these islands is intimately entwined with that of the continent itself. This course examines historical and current interpretations of island biogeography and the interplay between natural and human history and human ecology. The class will be taught as a combination of term-time seminar and in the field, based on the College's field station on Great Duck Island and the College's research vessel. During the Spring term we will be meeting regularly to examine the theoretical basis of Island Biogeography and islands as the subject of scientific and literary discussion since Aristotle. Readings will include Darwin, Alfred Russell Wallace, and contemporary authors. In late August we will re-convene for the field component of the class. During the first half of this component, we will be focusing primarily on Great Duck Island and its immediate surroundings, learning and applying theoretical approaches to islands' landscapes, with extensive reading from the primary literature. During the second half of the class, we will move further afield, exploring a variety of islands in eastern Maine, and relating our observations to theoretical predictions. Ultimately we hope to travel to Grand Manan Island in the Bay of Fundy to observe a large island community, see the traditional weir fishery, and observe firsthand migrating right and humpback whales, and northern seabirds. Evaluation based on participation, quizzes and a term project. Level: Intermediate/Advanced. Prerequisites: Permission of instructor; knowledge of boat-handling and/or significant experience on the water is recommended. Class limit: 8. Lab fee: $500, which helps cover food and travel for the field component of the course. Meets the following degree requirements: ES, HY.",
"Turok, Katharine",Literature of Exile,HS,Intermediate/Advanced,"Displacement, disappearance, deportation, exile, and return in New Writing: how do storytellers relate, relive, and re-create displacement from war, emigration, anti-immigration discourses, voluntary or coerced exile, or racial, ethnic, and religious conflicts? What emotional truths do new novels, poems, short stories, and essays reflect—from anger to “otherness” to nostalgia to numbness—when the self and its homeland are separated? Are one or more homelands foundational to identity formation? How do fiction and nonfiction convey refugee experiences and their aftermath? Finally, how are migratory journeys of geography and selfhood accompanied by related trauma, impactful on different generations and changes in the social and political spectrum - and do they evolve as ""a disassembly of the heart and excavation of a new identity"" in recent writing?Readings include material by twenty-first-century writers from every continent, such as Chimamanda Ngozi Adichie, Claire G. Coleman, Daša Drndic, Isabella Hammad, Cristina Henríquez, Amitav Kumar, Kyun-sook Shin, Valeria Luiselli, Geovani Martins, Imbolo Mbue, Viet Thanh Nguyen, Julie Otsuka, Salman Rushdie, Pajtim Statovci, and Shahla Ujayli.Students will be assessed on engaged participation, two short papers, one presentation in any medium, and a final essay, story, poem, or play.Level: Intermediate/Advanced. Prerequisites: None. Class limit: 15. Lab fee: None. Meets the following degree requirements: HS",
"Gadeken, Kara",Marine Biology,ES,Introductory,"This is a survey course that broadly covers the biology of organisms in various marine habitats (rocky shores, mud and sand, estuaries, open ocean, the poles, coral reefs, deep sea), and some policy and marine management and conservation issues. A large part of this course is focused on learning the natural history of the local marine flora and fauna of Mount Desert Island’s coastal habitats.Each week the course meets twice in class and once for laboratory work or field trips.Evaluations are based on the quality of participation in class, one in-class practical, several sets of essay questions, and a field notebook emphasizing natural history notes of local organisms. This class is intended as a broad introduction to the biology of life in the ocean for students in any year.Level: Introductory. Prerequisites: None. Class limit: 20. Lab fee: None. Meets the following degree requirements: ES.",
"Summers, Kristy",Metal Arts,ADS,Introductory,"This course will introduce students to metal working as an artistic process and material. Through this course there will be a basic introduction of welding, fabrication, and exploration of metal casting. Students in this course will learn the basics of cutting, bending, welding, and the basic manipulation of metal as a medium. This is a studio/classroom-based course that will introduce materials and methods, provide demonstrations, require research, discuss concepts of planning and construction, address safe material handling and tool usage when applicable, as well as provide the opportunity to experiment and play. Students will create projects based off of their own designs that push them both technically and conceptually. Student evaluations will be based on completion of projects and related research, class participation in demonstrations and class discussions, as well as project based critiques. Student evaluations will be based on completion of projects and related research, participation in demonstrations and class discussions, as well as project-based critiques.Level: Introductory. Prerequisites: None. Class limit: 10. Lab fee: $225. Meets the following degree requirements: ADS.",
"Ferrari , Melissa ",Moving Image Studio: Short Films,ADS,Intermediate/Advanced,"Moving Image Studio is a space for students to take on the entire process of making a short film. Students are welcome to work collaboratively or independently and will be expected to complete their film throughout the term. Projects might include documentary, animation, experimental or narrative shorts, and any techniques are welcome—for instance, puppet animation, 16mm cameraless filmmaking, or observational documentary. Each student will start the course by pitching their idea to their peers and creating a production schedule for the term, following the path of pre-production, production of sound/image, post-production, and a final screening. The class will be scheduled to accommodate group critiques of works-in-progress, independent production time, and one-on-one technical and conceptual guidance. Students who are currently working on a film project or wish to continue a previous class assignment, and would like a supportive setting to bring their film to completion, are encouraged to enroll in this class as well.Workshops, virtual artist talks, and screenings will cover topics such as pre-production strategies, professional practices, software techniques, and film festivals. Depending on their production workflow, students may use moving image software like Adobe Premiere, After Effects and Dragonframe.Students will be evaluated on their successful completion of their film project, including adherence to production schedules, and thoughtful participation in critiques and class discussions. Level: Intermediate/Advanced. Prerequisites: Students should have previous film, video or animation experience. Class limit: 12. Lab fee: $80. Meets the following degree requirements: ADS.",
"Sullivan , Leeann ","Mutual Aid, Past, and Future",HS,Intermediate/Advanced,"Contemporary political theory often explores how our established institutions drive seemingly intractable forms of ecological degradation and social harms. These critiques can offer potent models for pathologizing the injustices around us, but—by their magnitude—are also exhausting, making it difficult to imagine alternative ways of living together. As climate change disrupts our food systems, as pathogenic diseases spread and mutate, as social conflict grows, how can we possibly dream of more just and sustainable futures when we are regularly consumed with what it takes just to survive?In this highly interactive course, we will explore one possible answer to this question by considering whether mutual aid—both as an idea and as a really-existing practice—offers any useful speculative and technical tools for responding to our emerging “polycrisis”. We will first theorize mutual aid through a biological lens as a tactic of survival among species, and situate this theory in historical and social context. We will then explore mutual aid as an emergent practice that is always already occurring around us, and conclude by discussing the potentialities it opens (and those that it doesn't) for imaging alternative futures within, without, and around our existing institutions. Students in this course will be expected to read and reflect on high-level theoretical texts, participate actively in classroom discussion, and engage in community and campus-level projects that mirror our classroom discussions. Students will also conduct and self-publish original research on how mutual aid networks emerge in domains such as food, medical care, and community support work. Evaluation will be collaborative, based on engagement and intellectual growth and application of themes both in and outside of the classroom. Level: Intermediate/Advanced. Prerequisites: While we will briefly review critical theory as a thematic lens, students should enter the class with some existing knowledge of the subject and its applications to food systems, environmental justice, and/or contemporary social problems. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS.",
"Edwards, Torrie ",Object-Oriented Programming: Computer Game Design,QR,Introductory/Intermediate,"Object-oriented programming is a design paradigm that encapsulates variables and functions into structures called objects. Understanding what objects are, how to use them, and how to write your own objects, is a foundational programming skill. An application area in which objects naturally occur is game design. The computer gaming industry is a multi billion dollar industry that combines art, sound, and computing into one package. In part, it is thanks to the computer game market that we have seen rapid advances in computer graphics and compute speed. Computer games are event-driven programs; meaning the sequence of operations is not predetermined but is controlled by the user’s mouse clicks or text responses to prompts. In this class students will develop a computer game as a means to learn object-oriented and event-driven programming. Students who successfully complete this course will gain: 1)a grounding in object-oriented design, 2) an introduction to finite state machines and event driven programming, and 3) experience transforming an idea into a working computer game prototype. Students will gain Python coding experience and general skills that leave them better equipped to pursue a wide range of programming tasks. This course is intended for students who have some computer experience and are interested in independently learning new skills. While this course is designed to build on Introduction to Computer Science, adventurous beginners are encouraged to take this class. Students will be evaluated on weekly check-ins and assignments. The main project throughout the class will be to design, develop, and test a computer game prototype which culminates in a final demonstration. This course, or the equivalent, is required for many further courses in CS and related areas. Level: Introductory/Intermediate. Prerequisites: ES1093 Introduction to Computing: Data or permission of instructor. Class limit: 15. Lab fee: none. Meets the following degree requirements: QR.",
"Brothers , Tionna ",Organic Chemistry II,ES,Intermediate,"This course explores the physical, chemical, and environmental properties of carbon-containing materials such as plastics, solvents, dyes, and living things. The emphasis of this course is to apply foundational principles of Chemistry and Organic Chemistry I to gain perspective on how these processes fit into everyday life: materials and processing, research and medicine, connection to biochemistry, and food production. Evaluation will be based on: problem sets, quizzes, labs, a mid-term exam, and a final exam. Level: Intermediate. Prerequisites: A previous chemistry course. Offered every other year. Class limit: 15. Lab fee: $60. Meets the following degree requirements: ES.",
"Slabach, Brittany",Ornithology,ES,Advanced,"Welcome to the wonderfully weird world of Aves! This advanced course is designed to provide students with in-depth knowledge and experience in all aspects of avian biology. We will dive deep into evolution and taxonomic relationships and discuss the historical and cultural impacts birds have had globally. We’ll use museum specimens, dissections, and direct field observation to explore anatomy, physiology, behavior and ecology of birds up close and in-person! Emphasis will be on local and regional groups, but we will discuss global biodiversity. While the class is structured as two lectures and a laboratory component, the course is built around active learning where in-class discussions and activities should be expected. Assessment will be based on participation, weekly quizzes, activity reflections, and a written review paper on a topic of avian biology of your choosing. As an advanced course, this course builds on concepts discussed in Vertebrate Zoology. The course provides students with a strong foundation in all aspects of avian biology, including field techniques to monitor birds. Thus, the course is particularly suitable for students who would like to pursue careers in avian ecology. It would also serve students who are interested in gaining an in-depth knowledge of a particular group of organisms; those who are interested in gaining experience in synthesizing primary literature in a written form; or those who are curious about what being a bird really means. Level: Advanced. Prerequisites: ES3104 Vertebrate Zoology or permission of instructor. Class limit: 11. Lab fee: $50. Meets the following degree requirements: ES.",
"Gibson, David",Practicum in Sustainable Energy,,Intermediate,"This is a hands-on, project-based class in which students will collaboratively plan for and participate in all aspects of renewable energy projects on College of the Atlantic's campus. Examples of projects include installation of a solar photovoltaic array, airsealing and insulating one of the college's buildings, or planning and installing a greenhouse heating system. Students will learn how to take a project from design through fruition while navigating the various phases of the project lifecycle including operation and maintenance. The course will begin with an overview of existing technology and an analysis of the current energy generation and consumption data for the project site(s). The class will then plan the project and present this plan to the community. As part of this planning process, students will learn about the economics of renewable energy systems, including return on investment (ROI), internal rate of return (IRR), and related quantities. Students who successfully complete this class will gain the skills necessary to conceptualize, plan for, finance, and implement renewable energy projects. Evaluation will be based on several short presentations, problem sets, and active and effective participation in all aspects of the project. Default grade is Credit/No Credit.Level: Intermediate. Pre-requisites: Physics and Mathematics of Sustainable Energy is strongly recommended. Class limit: 10. Lab Fee: $50 Meets the following degree requirements: none.",
"Rand, Kendra",Public Speaking Workshop,HS,Introductory,"Consider all the ways that public speaking could be a part of your academic and professional paths: presenting your research, sitting on a webinar panel, speaking up at ACM, advocating for an urgent cause or policy, preparing your senior project presentation, delivering a formal address at a special occasion, or even deciding to perform spoken word at an open-mic. This course will prepare you to thoughtfully analyze your audience, research and organize relevant information, and deliver the critically important, well-prepared presentation that you’re capable of. Along the way we will be guided by, and critically analyze, three varied and sometimes contradictory premises: that it’s imperative to master the art of formal, standard presentation/speech delivery, that it’s equally important to respect and refine your own unique, authentic voice and speech communication style, and that important change happens when we both listen carefully and speak up loudly. This class will be conducted as a workshop with an emphasis on students producing increasingly advanced speeches for public performance and/or consumption. Students will complete three graded, “formal” presentations while also considering additional creative approaches and formats for public communication. Students will work with a variety of short texts and videos to generate new ideas and helpful public speaking habits. The real benefits of this course come from the positive, supportive, environment in which students can practice new public speaking skills and learn from each other. This class emphasizes a fun, dynamic, “hands-on” approach to constructing speeches. Students who feel that they are less proficient in the area of public communication should not be worried that this would somehow disadvantage them in terms of their overall evaluation. All students, regardless of their levels of comfort, experience, or and English-proficiency are encouraged to consider this course. This workshop is designed to help you improve your public presentation skills regardless of whether you are a complete novice to public speaking, or already have many years of practice. Your final evaluation for the course will be based on your engagement with the process, not on some objective standard of who gave the best speeches. Level: Introductory. Prerequisites: None. Class limit: 14. Lab fee: None. Meets the following degree requirements: HS.",
"Robbins, Dani",Queer Dance Histories,ADS,Introductory/Intermediate,"This course focuses on historical and contemporary relationships between dance, politics, gender, and sexuality, with a particular emphasis on dance made by and for LGBTQIA2S+ artists and audiences in the US in the 20th century. The study will investigate a wide variety of dance scholarship, including text and film resources, through discussion, embodied learning, and physical expression. Students will consider the work of artists and dance scholars that explicitly engage questions of queer liberation and solidarity. Students will also examine dance’s unique role in expanding and subverting normalized expressions of gender and sexuality in American culture since the early 1900s, with specific attention paid to the work of dance artists within movements for civil rights and social justice.We will touch on significant moments in American dance history including the incorporation of Afro-Caribbean diasporic dance and other forms, toward the evolution of what is now referred to as American modern dance. We will also explore a selection of histories from drag, cabaret, and the emergence of distinctively Queer dance forms throughout the 20th century including forms that came out of the Ballroom scene; Vogue, Tut, Waacking etc. There will be a strong emphasis on dance artist-activist contributions during the early years of the AIDS crisis. Students will be expected to view footage both inside and outside of class, complete weekly readings, short informal writings, and shared dance projects. A consistent movement practice will place our learning in an embodied dialogue with the artists, forms, and texts studied. Evaluation will be based on attendance, participation in class discussion, timely completion of all assignments, and completion of a final project/paper. Prior dance training is not required, but students that have experience with rigorously integrating physical practice with reading and writing will be well-prepared for this course. Level: Introductory/Intermediate. Prerequisites: None. Class limit: 12. Lab fee: $30. Meets the following degree requirements: ADS.",
"Letcher, Susan",Restoration Ecology,ES,Intermediate,"The Society for Ecological Restoration defines ecological restoration as “the process of assisting the recovery of an ecosystem that has been degraded, damaged, or destroyed.” In this era of widespread environmental degradation, restoration ecology provides an important set of methods for mitigating anthropogenic damage. However, the science of restoration is still in its early phases, and important theoretical and practical questions remain to be resolved. This class will critically examine the assumptions that underlie restoration planning, both in the ethical dimension and in the realm of scientific theory. We will consider the validity of conceptual models of ecological communities and ecosystems and the way that these models shape decision-making. We will survey the factors that must be taken into account during restoration and study best-practices approaches, with a focus on adaptive management. In the final project, groups of students will develop and present restoration plans for a local site. Students will be evaluated based on two essays, class participation, and the final project.Level: Intermediate. Prerequisites: Any of a number of courses including Biology: Form and Function, Trees and Shrubs, Ecology, Weed Ecology, or Landscape Architecture Design Studio. Class limit: 20. Lab fee: none. Meets the following degree requirements: ES",
"Fuller, Linda","Secondary Methods: Life Science, Social Studies and English",ED,Advanced,"This course is designed to prepare those who are intending to meet the learning needs of diverse populations of students in grades 7-12 or late adolescent young adults in other learning environments. It is an objective of the course to communicate that teaching is intellectual work, that it requires a dedication to and a love of subject matter, a respect and caring for students, a concern for equity, and a moral imperative for excellence in teaching. Students spend 70 hours with their target population and curriculum, as well as consulting with content faculty. (Some of these hours may be reserved for fall term.) These learning-teaching experiences are integrated into class discussion where students analyze the elements needed for successful teaching, learning, and assessing in their own content area and across disciplines. The purposes, problems, opportunities, issues, strategies, and materials involved in teaching diverse adolescent and young adult learners will be examined critically, and students will be evaluated through class discussions, individual and group work, reflections on field experiences, and peer and virtual teaching and assessing. Level: Advanced. Prerequisites: Permission of instructor. Class limit: 12. Lab Fee: None. Meets the following degree requirements: ED",
"Letcher, Susan",Sheep to Shawl,,Intermediate,"Sheep play profoundly important roles in human societies. This course is a human ecological exploration of sheep and wool, combined with a hands-on component in which we will work with sheep and learn fiber arts. This class will meet for one studio session and two lecture/discussion sections per week, plus at least one Saturday field trip. In the studio sessions, we will study sheep husbandry through visits to Peggy Rockefeller Farm, and learn a variety of techniques for working with wool, from the preparation (shearing, washing, and carding) to spinning and working with yarn (including knitting, crochet, and weaving). The lecture/discussion sessions will cover topics such as the ecological impacts of sheep in different parts of the world, the physics of spinning and the chemistry of dyes, and the symbolism of sheep in the mythology of different cultures. The course will draw on a wide range of material and intellectual approaches, with sheep and wool as the unifying theme. Students will be evaluated based on participation, short written assignments, and a final oral presentation. No prior knowledge of fiber craft is necessary, but students who come in knowing one of the basic techniques may be able to explore advanced techniques like lacework or design in three dimensions. Students should meet with the instructor before spring break to discuss goals and equipment needs for the studio sessions. Some basic supplies will be provided, but students should plan to purchase additional equipment such as knitting needles depending on the projects that they choose.Level: Intermediate. Prerequisites: Permission of instructor. Class limit: 10. Lab fee: $100. Meets the following degree requirements: None. ",
"Henderson, Jonathan",Sound Studies Practicum,ADS,Intermediate/Advanced,"How are artists and scholars of sound engaging various crises in the anthropocene? What are the possibilities and limitations of responding to or representing a place through sound recording and playback? How do contemporary composers and sound artists engage place-specific material in their work? This practice-based course examines the interdisciplinary field of sound studies through close reading, listening, and hands-on (ears-on?) work in sound. Students will create place-based recording projects and site-specific sound installations that draw on local fieldwork excursions around Frenchman Bay, as well as on archival research connected to the Maine Sound and Story Archive and others. Students will sharpen skills in field recording, audio editing, multi-channel sound mixing and presentation, artistic collaboration, and building sonic-rich soundscapes as they work to create immersive sound art projects. This class will work to expand the narrative podcast format, seeking more abstract and layered forms that draw on research and storytelling to help audiences sense a place or a concept through the experience of sound. The course will examine key readings in the field of sound studies, and investigate the practice of sound artists working at the intersections of sound and climate change, sound and social (in)justice, the repatriation of sound recordings, sound and ethnographic practice, and more. Students must have prior experience recording and editing sound, and a willingness to collaborate with their peers to synthesize and realize their ideas. This course will involve fieldwork excursions outside of class time. Evaluation will be based on class participation, engagement with class projects and assignments, and the demonstration of learning in relationship to course content.Level: Intermediate/Advanced. Prerequisites: At least one of any of the following courses (or by permission of the instructor): AD4015 Film Sound Image, HS3100 Within Living Memory, AD 1058 Dissecting Popular Music, HS3122 Navigating Change, HS3120 Audio Journalism, AD3014 Soundscape, AD1040 Audio Production and Engineering, AD 1072 Audio Production as Compositional Tool. If you have not taken one of these courses but feel you have the background to take this course, please reach out to the instructor. Class Limit: 12. Lab fee: $50. Meets the following degree requirements: ADS.",
"Koch, Galen",Sound Studies Practicum,ADS,Intermediate/Advanced,"How are artists and scholars of sound engaging various crises in the anthropocene? What are the possibilities and limitations of responding to or representing a place through sound recording and playback? How do contemporary composers and sound artists engage place-specific material in their work? This practice-based course examines the interdisciplinary field of sound studies through close reading, listening, and hands-on (ears-on?) work in sound. Students will create place-based recording projects and site-specific sound installations that draw on local fieldwork excursions around Frenchman Bay, as well as on archival research connected to the Maine Sound and Story Archive and others. Students will sharpen skills in field recording, audio editing, multi-channel sound mixing and presentation, artistic collaboration, and building sonic-rich soundscapes as they work to create immersive sound art projects. This class will work to expand the narrative podcast format, seeking more abstract and layered forms that draw on research and storytelling to help audiences sense a place or a concept through the experience of sound. The course will examine key readings in the field of sound studies, and investigate the practice of sound artists working at the intersections of sound and climate change, sound and social (in)justice, the repatriation of sound recordings, sound and ethnographic practice, and more. Students must have prior experience recording and editing sound, and a willingness to collaborate with their peers to synthesize and realize their ideas. This course will involve fieldwork excursions outside of class time. Evaluation will be based on class participation, engagement with class projects and assignments, and the demonstration of learning in relationship to course content.Level: Intermediate/Advanced. Prerequisites: At least one of any of the following courses (or by permission of the instructor): AD4015 Film Sound Image, HS3100 Within Living Memory, AD 1058 Dissecting Popular Music, HS3122 Navigating Change, HS3120 Audio Journalism, AD3014 Soundscape, AD1040 Audio Production and Engineering, AD 1072 Audio Production as Compositional Tool. If you have not taken one of these courses but feel you have the background to take this course, please reach out to the instructor. Class Limit: 12. Lab fee: $50. Meets the following degree requirements: ADS.",
